type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,año_agregado
Movie,Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),Lance Bangs,Jen Kirkman,United States,2015-05-22,2015,TV-MA,78 min,Stand-Up Comedy,2015.0
Movie,The Other One: The Long Strange Trip of Bob Weir,Mike Fleiss,Bob Weir,United States,2015-05-22,2015,TV-14,84 min,"Documentaries, Music & Musicals",2015.0
Movie,Chris D'Elia: Incorrigible,Bill D'Elia,Chris D'Elia,United States,2015-04-17,2015,TV-MA,84 min,Stand-Up Comedy,2015.0
TV Show,Oscar's Oasis,Desconocido,Sin reparto,France,2015-03-15,2011,TV-Y,1 Season,Kids' TV,2015.0
Movie,Aziz Ansari Live at Madison Square Garden,Aziz Ansari,Aziz Ansari,United States,2015-03-06,2015,TV-MA,58 min,Stand-Up Comedy,2015.0
Movie,My Own Man,David Sampliner,David Sampliner,United States,2015-03-06,2015,TV-MA,82 min,Documentaries,2015.0
Movie,Ralphie May: Unruly,John Asher,Ralphie May,United States,2015-02-27,2015,TV-MA,83 min,Stand-Up Comedy,2015.0
Movie,Virunga: Gorillas in Peril,Desconocido,Sin reparto,United States,2015-02-13,2015,TV-14,29 min,Documentaries,2015.0
Movie,Iliza Shlesinger: Freezing Hot,Desconocido,Iliza Shlesinger,,2015-01-23,2015,TV-MA,72 min,Stand-Up Comedy,2015.0
Movie,BoJack Horseman Christmas Special: Sabrina's Christmas Wish,Desconocido,"Will Arnett, Aaron Paul, Alison Brie, Adam Conover, Kristen Schaal, Fred Savage",United States,2014-12-19,2014,TV-MA,26 min,Movies,2014.0
Movie,Bill Burr: I'm Sorry You Feel That Way,Jay Karas,Bill Burr,United States,2014-12-05,2014,TV-MA,81 min,Stand-Up Comedy,2014.0
TV Show,Lilyhammer,Desconocido,"Steven Van Zandt, Trond Fausa, Steinar Sagen, Robert Skjærstad, Tommy Karlsen, Fridtjov Såheim, Marian Saastad Ottesen","Norway, United States",2014-11-21,2014,TV-MA,3 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",2014.0
TV Show,Goosebumps,Desconocido,R.L. Stine,Canada,2014-11-19,1998,TV-G,5 Seasons,"Kids' TV, TV Thrillers",2014.0
Movie,Chelsea Peretti: One of the Greats,Lance Bangs,Chelsea Peretti,United States,2014-11-14,2014,TV-MA,75 min,Stand-Up Comedy,2014.0
Movie,Virunga,Orlando von Einsiedel,Sin reparto,"United Kingdom,",2014-11-07,2014,TV-MA,100 min,"Documentaries, International Movies",2014.0
Movie,E-Team,"Katy Chevigny, Ross Kauffman",Sin reparto,United States,2014-10-24,2014,TV-MA,90 min,Documentaries,2014.0
Movie,Wyatt Cenac: Brooklyn,Wyatt Cenac,Wyatt Cenac,United States,2014-10-21,2014,TV-MA,68 min,Stand-Up Comedy,2014.0
Movie,Chelsea Handler: Uganda Be Kidding Me Live,James Yukich,Chelsea Handler,United States,2014-10-10,2014,TV-MA,71 min,Stand-Up Comedy,2014.0
Movie,Print the Legend,"Luis Lopez, Clay Tweel",Sin reparto,United States,2014-09-26,2014,TV-14,100 min,Documentaries,2014.0
Movie,Mission Blue,"Robert Nixon, Fisher Stevens","James Cameron, Michael deGruy, Sylvia Earle, Bryce Groark, Jeremy Jackson, Carl Safina","United States, Bermuda, Ecuador",2014-08-15,2014,TV-PG,94 min,Documentaries,2014.0
Movie,The Battered Bastards of Baseball,"Chapman Way, Maclain Way","Todd Field, Kurt Russell",United States,2014-07-11,2014,TV-MA,80 min,"Documentaries, Sports Movies",2014.0
Movie,From One Second to the Next,Werner Herzog,Sin reparto,United States,2014-04-15,2013,TV-14,35 min,Documentaries,2014.0
TV Show,The Borgias,Desconocido,"Jeremy Irons, François Arnaud, Holliday Grainger, Peter Sullivan, Sean Harris, Joanne Whalley, Lotte Verbeek, Colm Feore, Vernon Dobtcheff, David Oakes","United States, Hungary, Ireland, Canada",2014-02-01,2013,TV-MA,3 Seasons,TV Dramas,2014.0
Movie,Mitt,Greg Whiteley,Mitt Romney,United States,2014-01-24,2014,TV-PG,93 min,Documentaries,2014.0
Movie,The Square,Jehane Noujaim,"Ahmed Hassan, Khalid Abdalla, Magdy Ashour, Ramy Essam, Bothaina Kamel, Dina Abdullah, Aida Elkashef, Ragia Omran, Pierre Seyoufr, Dina Amer, Sherif Boray, Khaled Nagy, Salma Saied, Ahmed Saleh, Alaa Seif","United Kingdom, Egypt, United States",2014-01-17,2013,TV-MA,105 min,"Documentaries, International Movies",2014.0
Movie,Shrek the Musical,Jason Moore,"Brian d'Arcy James, Daniel Breaker, Sutton Foster, Christopher Sieber, John Tartaglia, Rozi Baker, Ryan Duncan, Leah Greenhaus, Chris Hoch, Marissa O'Donnell, Denny Paschall",United States,2013-12-29,2013,TV-G,130 min,"Children & Family Movies, Comedies, Music & Musicals",2013.0
Movie,The Short Game,Josh Greenbaum,"Sky Sudberry, Allan Kournikova, Jed Dy, Zamokuhle Nxasana, Alexa Pano, Amari Avery, Augustin Valery, Kuang Yang, Jack Nicklaus, Gary Player",United States,2013-12-12,2013,PG,100 min,"Children & Family Movies, Documentaries, Sports Movies",2013.0
Movie,Aziz Ansari: Buried Alive,"Will Lovelace, Dylan Southern",Aziz Ansari,United States,2013-11-01,2013,TV-MA,80 min,Stand-Up Comedy,2013.0
TV Show,The 4400,Desconocido,"Joel Gretsch, Jacqueline McKenzie, Patrick John Flueger, Conchita Campbell, Chad Faust, Richard Kahan, Mahershala Ali, Billy Campbell","United States, United Kingdom",2013-09-01,2007,TV-14,4 Seasons,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",2013.0
TV Show,Breaking Bad,Desconocido,"Bryan Cranston, Aaron Paul, Anna Gunn, Dean Norris, Betsy Brandt, R.J. Mitte, Bob Odenkirk, Steven Michael Quezada, Jonathan Banks, Giancarlo Esposito",United States,2013-08-02,2013,TV-MA,5 Seasons,"Crime TV Shows, TV Dramas, TV Thrillers",2013.0
Movie,Being Elmo: A Puppeteer's Journey,Constance Marks,"Kevin Clash, Whoopi Goldberg",United States,2012-02-21,2011,PG,76 min,Documentaries,2012.0
Movie,A Stoning in Fulham County,Larry Elikann,"Ken Olin, Jill Eikenberry, Maureen Mueller, Gregg Henry, Nicholas Pryor, Noble Willingham, Peter Michael Goetz, Ron Perlman, Theodore Bikel, Olivia Burnette, Bill Allen, Brad Pitt",United States,2011-10-01,1988,TV-14,95 min,Dramas,2011.0
Movie,Adam: His Song Continues,Robert Markowitz,"Daniel J. Travanti, JoBeth Williams, Richard Masur, Martha Scott, Paul Regina",United States,2011-10-01,1986,TV-MA,96 min,Dramas,2011.0
Movie,Hard Lessons,Eric Laneuville,"Denzel Washington, Lynn Whitfield, Richard Masur, Akosua Busia",United States,2011-10-01,1986,TV-14,94 min,Dramas,2011.0
Movie,In Defense of a Married Man,Joel Oliansky,"Judith Light, Michael Ontkean, Jerry Orbach, Pat Corley, Nicholas Campbell, John Colicos, Cynthia Sikes, Johnny Galecki",United States,2011-10-01,1990,TV-14,94 min,Dramas,2011.0
Movie,Quiet Victory: The Charlie Wedemeyer Story,Roy Campanella II,"Pam Dawber, Michael Nouri, Bess Meyer, Peter Berg, James Handy, Kyle Chandler",United States,2011-10-01,1988,TV-PG,93 min,"Dramas, Sports Movies",2011.0
Movie,Strange Voices,Arthur Allan Seidelman,"Nancy McKeon, Valerie Harper, Stephen Macht, Tricia Leigh Fisher, Millie Perkins",United States,2011-10-01,1987,TV-PG,96 min,Dramas,2011.0
Movie,The Ryan White Story,John Herzfeld,"Judith Light, Lukas Haas, Michael Bowen, Nikki Cox, George Dzundza, Valerie Landsburg, Sarah Jessica Parker, Mitchell Ryan",United States,2011-10-01,1989,TV-PG,94 min,Dramas,2011.0
Movie,Too Young the Hero,Buzz Kulik,"Ricky Schroder, Jon DeVries, Debra Mooney, Mary-Louise Parker, Christopher Curry, Rick Warner, Tom Wood",United States,2011-10-01,1988,TV-MA,94 min,Dramas,2011.0
Movie,Triumph of the Heart,Richard Michaels,"Mario Van Peebles, Susan Ruttan, Lane R. Davis, Lynn Whitfield, Adam Faraizl, Polly Holliday, Jay Pennison, John Schuhmacher",United States,2011-10-01,1991,TV-PG,93 min,"Dramas, Sports Movies",2011.0
Movie,Unspeakable Acts,Linda Otto,"Jill Clayburgh, Brad Davis, Sam Behrens",United States,2011-10-01,1990,TV-14,95 min,Dramas,2011.0
Movie,Victim of Beauty,Roger Young,"William Devane, Jeri Ryan, Michele Abrams, Nick Searcy, Linda Pierce, J. Don Ferguson, Butch Slade, Joyce Bowden-Kirby",United States,2011-10-01,1991,TV-14,93 min,"Dramas, Thrillers",2011.0
Movie,Joseph: King of Dreams,"Rob LaDuca, Robert C. Ramirez","Ben Affleck, Mark Hamill, Richard Herd, Maureen McGovern, Jodi Benson, Judith Light, James Eckhouse, Richard McGonagle, David Campbell, Steven Weber, Dan Castellaneta, Rene Auberjonois, Ken Hudson Campbell, Tom Virtue, Jeff Bennett","United States, France, United Kingdom",2011-09-27,2000,TV-PG,75 min,"Children & Family Movies, Dramas, Faith & Spirituality",2011.0
Movie,Even the Rain,Icíar Bollaín,"Luis Tosar, Gael García Bernal, Juan Carlos Aduviri, Karra Elejalde, Raúl Arévalo, Carlos Santos, Cassandra Ciangherotti, Milena Soliz, Leónidas Chiri, Vicente Romero, Daniel Currás, Pau Cólera","Spain, Mexico, France",2011-05-17,2010,TV-MA,103 min,"Dramas, International Movies",2011.0
Movie,Splatter,Joe Dante,"Corey Feldman, Tony Todd, Tara Leigh, Erin Way, Mark Alan, Stuart Pankin",United States,2009-11-18,2009,TV-MA,29 min,Horror Movies,2009.0
Movie,Just Another Love Story,Ole Bornedal,"Anders W. Berthelsen, Rebecka Hemse, Nikolaj Lie Kaas, Charlotte Fich, Dejan Cukic, Karsten Jansfort, Flemming Enevold, Bent Mejding, Ewa Fröling, Josephine Raahauge, Timm Vladimir, Ditte Hansen",Denmark,2009-05-05,2007,TV-MA,104 min,"Dramas, International Movies",2009.0
Movie,To and From New York,Sorin Dan Mihalcescu,"Barbara King, Shaana Diya, John Krisiukenas, Yoriko Haraguchi, David Crane, Chad Thomas",United States,2008-01-01,2006,TV-MA,81 min,"Dramas, Independent Movies, Thrillers",2008.0
Movie,9,Shane Acker,"Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane",United States,2017-11-16,2009,PG-13,80 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",2017.0
Movie,21,Robert Luketic,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin",United States,2020-01-01,2008,PG-13,123 min,Dramas,2020.0
Movie,187,Kevin Reynolds,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana",United States,2019-11-01,1997,R,119 min,Dramas,2019.0
Movie,706,Shravan Kumar,"Divya Dutta, Atul Kulkarni, Mohan Agashe, Anupam Shyam, Raayo S. Bakhirta, Yashvit Sancheti, Greeva Kansara, Archan Trivedi, Rajiv Pathak",India,2019-04-01,2019,TV-14,118 min,"Horror Movies, International Movies",2019.0
Movie,1920,Vikram Bhatt,"Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas",India,2017-12-15,2008,TV-MA,143 min,"Horror Movies, International Movies, Thrillers",2017.0
Movie,Oct-01,Kunle Afolayan,"Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole, Fabian Adeoye Lojede, Nick Rhys, Kunle Afolayan, Colin David Reese, Ibrahim Shatta, Femi Adebayo, Kanayo O. Kanayo, Lawrence Stubbings, Ademola Adedoyin",Nigeria,2019-09-01,2014,TV-14,149 min,"Dramas, International Movies, Thrillers",2019.0
TV Show,Feb-09,Desconocido,"Shahd El Yaseen, Shaila Sabt, Hala, Hanadi Al-Kandari, Salma Salem, Ibrahim Al-Harbi, Mahmoud Boushahri, Yousef Al Balushi, Ghorour, Abdullah Al-bloshi",,2019-03-20,2018,TV-14,1 Season,"International TV Shows, TV Dramas",2019.0
Movie,22-Jul,Paul Greengrass,"Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith","Norway, Iceland, United States",2018-10-10,2018,R,144 min,"Dramas, Thrillers",2018.0
Movie,15-Aug,Swapnaneel Jayakar,"Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar",India,2019-03-29,2019,TV-14,124 min,"Comedies, Dramas, Independent Movies",2019.0
Movie,'89,Desconocido,"Lee Dixon, Ian Wright, Paul Merson",United Kingdom,2018-05-16,2017,TV-PG,87 min,Sports Movies,2018.0
Movie,​Goli Soda 2,Vijay Milton,"Samuthirakani, Bharath Seeni, Vinoth, Esakki Barath, Chemban Vinod Jose, Gautham Menon, Krisha Kurup, Subiksha",India,2018-09-15,2018,TV-14,128 min,"Action & Adventure, Dramas, International Movies",2018.0
Movie,​Maj Rati ​​Keteki,Santwana Bardoloi,"Adil Hussain, Shakil Imtiaz, Mahendra Rabha, Sulakshana Baruah, Rahul Gautam Sarma, Kulada Bhattacharjya, Indu Mohan Das, Moumita Talukdar",India,2018-09-15,2017,TV-14,117 min,"Dramas, International Movies",2018.0
Movie,​Mayurakshi,Atanu Ghosh,"Soumitra Chatterjee, Prasenjit Chatterjee, Indrani Haldar, Sudipta Chakraborty, Suman Banerjee, Gargi Roychowdhury",India,2018-09-15,2017,TV-14,100 min,"Dramas, International Movies",2018.0
Movie,(T)ERROR,"Lyric R. Cabral, David Felix Sutcliffe",Sin reparto,United States,2016-06-30,2015,NR,84 min,Documentaries,2016.0
Movie,#cats_the_mewvie,Michael Margolis,Sin reparto,Canada,2020-02-05,2020,TV-14,90 min,"Documentaries, International Movies",2020.0
Movie,#Roxy,Michael Kennedy,"Jake Short, Sarah Fisher, Booboo Stewart, Danny Trejo, Pippa Mackie, Jake Smith, Patricia Zentilli, Carter Thicke",Canada,2019-04-10,2018,TV-14,105 min,"Comedies, Romantic Movies",2019.0
TV Show,แผนร้ายนายเจ้าเล่ห์,Desconocido,"Chutavuth Pattarakampol, Sheranut Yusananda, Nichaphat Chatchaipholrat, Thassapak Hsu",,2019-03-30,2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",2019.0
Movie,Ég man þig,Óskar Thór Axelsson,"Jóhannes Haukur Jóhannesson, Ágústa Eva Erlendsdóttir, Elma Stefania Agustsdottir, Thor Kristjansson, Anna Gunndís Guðmundsdóttir, Sara Dögg Ásgeirsdóttir, Þröstur Leó Gunnarsson, Jóhann Sigurðarson, Sveinn Geirsson, Arnar Páll Harðarson",Iceland,2018-03-27,2017,TV-MA,106 min,"Horror Movies, International Movies",2018.0
Movie,Çok Filim Hareketler Bunlar,Ozan Açıktan,"Ayça Erturan, Aydan Taş, Ayşegül Akdemir, Burcu Gönder, Bülent Emrah Parlak, Büşra Pekin, Emre Canpolat, Ersin Korkut, Eser Yenenler, Gizem Tuğral, Gülhan Tekin, Gülsüm Alkan, Hamdi Kahraman, İbrahim Büyükak, Metin Keçeci",Turkey,2017-03-10,2010,TV-MA,99 min,"Comedies, International Movies",2017.0
Movie,Æon Flux,Karyn Kusama,"Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Frances McDormand, Pete Postlethwaite, Amelia Warner, Caroline Chikezie, Nikolai Kinski, Paterson Joseph, Yangzom Brauen",United States,2018-02-01,2005,PG-13,93 min,"Action & Adventure, Sci-Fi & Fantasy",2018.0
TV Show,Şubat,Desconocido,"Alican Yücesoy, Melisa Sözen, Musa Uzunlar, Serkan Ercan, Özkan Uğur, Ülkü Duru, Tansu Biçer, Nadir Sarıbacak, Sermet Yeşil, Ayhan Kavas",Turkey,2017-01-17,2013,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",2017.0
Movie,1 Chance 2 Dance,Adam Deyoe,"Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Teresa Biter, Kalilah Harris, Alexia Dox, Adam Powell, Sean McBride",United States,2017-07-01,2014,TV-PG,89 min,"Dramas, Romantic Movies",2017.0
Movie,1 Mile to You,Leif Tilden,"Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth, Melanie Lynskey, Thomas Cocquerel, Peter Coyote",United States,2017-07-07,2017,TV-14,105 min,"Dramas, Romantic Movies, Sports Movies",2017.0
Movie,"10,000 B.C.",Roland Emmerich,"Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zinal, Nathanael Baring, Mona Hammond, Omar Sharif","United States, South Africa",2019-06-01,2008,PG-13,109 min,Action & Adventure,2019.0
Movie,100 Days Of Solitude,Desconocido,Sin reparto,Spain,2018-07-06,2018,TV-MA,93 min,"Documentaries, International Movies",2018.0
Movie,100 Years: One Woman's Fight for Justice,Melinda Janko,Sin reparto,United States,2018-03-20,2016,TV-14,75 min,Documentaries,2018.0
TV Show,100% Hotter,Desconocido,"Daniel Palmer, Melissa Sophia, Karen Williams, Grace Woodward",United Kingdom,2019-11-01,2017,TV-14,1 Season,"British TV Shows, International TV Shows, Reality TV",2019.0
Movie,12 ROUND GUN,Sam Upton,"Sam Upton, Jared Abrahamson, Mark Boone Junior, Laila Ali, Kate Vernon, Cassi Thomson, Colby French, Miguel Perez, Jay Acovone",United States,2019-03-14,2017,TV-MA,90 min,"Dramas, Independent Movies, Sports Movies",2019.0
TV Show,12 Years Promise,Desconocido,"So-yeon Lee, Namkoong Min, Tae-im Lee, So-hui Yoon, Won-keun Lee, Hyo-young Ryu",South Korea,2017-05-22,2014,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",2017.0
Movie,13 Cameras,Victor Zarcoff,"PJ McCabe, Brianne Moncrief, Sarah Baldwin, Jim Cummings, Heidi Niedermeyer, Neville Archambault",United States,2016-08-13,2015,NR,90 min,"Horror Movies, Independent Movies, Thrillers",2016.0
Movie,13 Sins,Daniel Stamm,"Mark Webber, Rutina Wesley, Devon Graye, Tom Bower, Ron Perlman, Pruitt Taylor Vince",United States,2019-01-13,2014,R,93 min,"Horror Movies, Thrillers",2019.0
Movie,13TH: A Conversation with Oprah Winfrey & Ava DuVernay,Desconocido,"Oprah Winfrey, Ava DuVernay",,2017-01-26,2017,,37 min,Movies,2017.0
Movie,14 Blades,Daniel Lee,"Donnie Yen, Zhao Wei, Wu Chun, Law Kar-Ying, Kate Tsui, Yuwu Qi, Wu Ma, Chen Kuan Tai, Sammo Kam-Bo Hung, Chen Zhi Hui, Damian Lau, Xiang Dong Xu","Hong Kong, China, Singapore",2019-04-03,2010,R,113 min,"Action & Adventure, International Movies",2019.0
Movie,14 Cameras,"Scott Hussion, Seth Fuller","Neville Archambault, Amber Midthunder, Brytnee Ratledge, Hank Rogerson, Chelsea Edmundson, John-Paul Howard, Lora Martinez-Cunningham, Brianne Moncrief",United States,2018-10-27,2018,TV-MA,89 min,"Horror Movies, Thrillers",2018.0
Movie,16 Blocks,Richard Donner,"Bruce Willis, Mos Def, David Morse, Jenna Stern, Cylk Cozart, Casey Sander, David Zayas, Robert Racki, Patrick Garrow, Sasha Roiz","United States, Germany",2019-11-01,2006,PG-13,102 min,Action & Adventure,2019.0
Movie,17 Again,Burr Steers,"Zac Efron, Leslie Mann, Matthew Perry, Thomas Lennon, Michelle Trachtenberg, Melora Hardin, Sterling Knight, Hunter Parrish, Nicole Sullivan, Allison Miller",United States,2021-01-01,2009,PG-13,102 min,Comedies,2021.0
Movie,1BR,David Marmor,"Nicole Brydon Bloom, Giles Matthey, Taylor Nichols, Alan Blumenfeld, Celeste Sully, Susan Davis, Clayton Hoff, Earnestine Phillips",United States,2020-08-23,2019,TV-MA,90 min,"Horror Movies, Independent Movies, Thrillers",2020.0
Movie,1st Summoning,Raymond Wood,"Hayley Lovitt, Teddy Cole, Brook Todd, Ace Harney, Jason Macdonald",United States,2019-07-26,2018,TV-MA,94 min,"Horror Movies, Independent Movies",2019.0
Movie,20 Feet From Stardom,Morgan Neville,"Darlene Love, Merry Clayton, Lisa Fischer, Táta Vega, Claudia Lennear, Judith Hill, Bruce Springsteen, Mick Jagger, Stevie Wonder, Sting, Bette Midler, Cissy Houston, Sheryl Crow, Tata Vega",United States,2018-09-22,2013,PG-13,91 min,"Documentaries, Music & Musicals",2018.0
Movie,2015 Dream Concert,Desconocido,"4Minute, B1A4, BtoB, ELSIE, EXID, EXO, Got7, INFINITE, KARA, Shinee, Sistar, VIXX, Nine Muses, BTS, Secret, Topp Dogg",South Korea,2017-04-28,2015,TV-PG,107 min,"International Movies, Music & Musicals",2017.0
Movie,2036 Origin Unknown,Hasraf Dulull,"Katee Sackhoff, Ray Fearon, Julie Cox, Steven Cree, David Tse, Joe David Walters",United Kingdom,2018-12-20,2018,TV-14,95 min,Sci-Fi & Fantasy,2018.0
Movie,20th Century Women,Mike Mills,"Annette Bening, Elle Fanning, Greta Gerwig, Lucas Jade Zumann, Billy Crudup",United States,2019-06-28,2016,R,119 min,"Dramas, Independent Movies",2019.0
Movie,21 & Over,"Jon Lucas, Scott Moore","Miles Teller, Skylar Astin, Justin Chon, Sarah Wright, Jonathan Keltz, François Chau, Russell Hodgkinson, Daniel Booko, Russell Mercado, Josie Loren, Dustin Ybarra",United States,2019-04-16,2013,R,93 min,Comedies,2019.0
TV Show,21 Sarfarosh: Saragarhi 1897,Desconocido,"Luke Kenny, Mohit Raina, Mukul Dev",India,2018-12-01,2018,TV-14,1 Season,"International TV Shows, TV Dramas",2018.0
Movie,2307: Winter's Dream,Joey Curtis,"Paul Sidhu, Arielle Holmes, Branden Coles, Kelcey Watson, Anne-Solenne Hatte, Brad Potts, Timothy Lee DePriest, Fernando Argosino, Duchess Dukes, Harwood Gordon, Stormi Henley",United States,2018-03-01,2016,TV-MA,101 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",2018.0
Movie,24 Hours to Live,Brian Smrz,"Ethan Hawke, Xu Qing, Paul Anderson, Rutger Hauer, Tyrone Keogh, Nathalie Boltt, Liam Cunningham","South Africa, China, United States",2018-04-07,2017,R,93 min,Action & Adventure,2018.0
Movie,"27, el club de los malditos",Nicanor Loreti,"Diego Capusotto, Sofía Gala, Daniel Aráoz, Willy Toledo, El Polaco, Paula Manzone, Yayo Guridi, Guillermo Toledo",Argentina,2018-05-01,2018,TV-MA,82 min,"Action & Adventure, Comedies, International Movies",2018.0
Movie,27: Gone Too Soon,Simon Napier-Bell,"Janis Joplin, Jimi Hendrix, Amy Winehouse, Jim Morrison, Kurt Cobain",United Kingdom,2018-05-01,2017,TV-MA,70 min,Documentaries,2018.0
Movie,28 Days,Betty Thomas,"Sandra Bullock, Viggo Mortensen, Dominic West, Diane Ladd, Elizabeth Perkins, Steve Buscemi, Alan Tudyk, Mike O'Malley, Azura Skye, Reni Santoni, Marianne Jean-Baptiste",United States,2020-09-30,2000,PG-13,104 min,"Comedies, Dramas",2020.0
Movie,3 Deewarein,Nagesh Kukunoor,"Naseeruddin Shah, Jackie Shroff, Juhi Chawla, Nagesh Kukunoor, Gulshan Grover, Aditya Lakhia, Shri Vallabh Vyas",,2019-12-31,2003,TV-MA,121 min,"Dramas, International Movies, Thrillers",2019.0
Movie,3 Generations,Gaby Dellal,"Elle Fanning, Naomi Watts, Susan Sarandon, Tate Donovan, Linda Emond, Jordan Carlos, Sam Trammell, Maria Dizzia, Tessa Albertson",United States,2017-08-28,2015,PG-13,92 min,"Dramas, LGBTQ Movies",2017.0
Movie,3 Heroines,Iman Brotoseno,"Reza Rahadian, Bunga Citra Lestari, Tara Basro, Chelsea Islan",Indonesia,2019-01-05,2016,TV-PG,124 min,"Dramas, International Movies, Sports Movies",2019.0
Movie,3 Seconds Divorce,Shazia Javed,Sin reparto,Canada,2019-06-15,2018,TV-PG,53 min,"Documentaries, Faith & Spirituality",2019.0
Movie,30 Days of Luxury,Hani Hamdi,"Taher Farouz, Sad Al-Saghir, Ahmad Faloks, Soleiman Eid, Mahmood El-Laithi, Hesham Ismail, Shaima Saif, Nermin Maher, Sofinar",Egypt,2019-04-18,2016,TV-14,91 min,"Comedies, International Movies",2019.0
Movie,30 Minutes or Less,Ruben Fleischer,"Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson, Dilshad Vadsaria, Michael Peña, Bianca Kajlich, Fred Ward",United States,2021-01-01,2011,R,83 min,"Action & Adventure, Comedies",2021.0
Movie,300 Miles to Heaven,Maciej Dejczer,"Krzysztof Stroiński, Andrzej Mellin, Adrianna Biedrzyńska, Adrianna Biedrzyńska, Rafał Zimowski, Kama Kowalewska, Wiesław Komasa, Aleksander Bednarz, Jadwiga Jankowska-Cieslak, Wojciech Klata","Denmark, France, Poland",2019-10-01,1989,TV-14,93 min,"Dramas, International Movies",2019.0
Movie,42 Grams,Jack C. Newell,Jake Bickelhaupt,United States,2018-02-01,2017,TV-MA,81 min,Documentaries,2018.0
Movie,4th Man Out,Andrew Nackman,"Evan Todd, Parker Young, Chord Overstreet, Jon Gabrus, Kate Flannery, Brooke Dillman, Jennifer Damiano, Jordan Lane Price, Alex Rennie, Jake Epstein",United States,2016-05-05,2015,NR,86 min,"Comedies, LGBTQ Movies",2016.0
Movie,5 Cowok Jagoan,Anggy Umbara,"Ario Bayu, Arifin Putra, Dwi Sasono, Muhadkly Acho, Cornelio Sunny, Tika Bravani, Nirina Zubir, Ganindra Bimo, Verdi Solaiman",,2019-01-05,2017,TV-MA,106 min,"Action & Adventure, Comedies, International Movies",2019.0
Movie,5 to 7,Victor Levin,"Anton Yelchin, Bérénice Marlohe, Olivia Thirlby, Lambert Wilson, Frank Langella, Glenn Close",United States,2017-03-16,2014,R,97 min,"Comedies, Dramas, Romantic Movies",2017.0
Movie,50 First Dates,Peter Segal,"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin, Lusia Strus, Dan Aykroyd, Amy Hill, Allen Covert, Blake Clark, Maya Rudolph",United States,2020-12-01,2004,PG-13,99 min,"Comedies, Romantic Movies",2020.0
Movie,50/50,Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston, Serge Houde, Andrew Airlie, Matt Frewer, Philip Baker Hall, Marie Avgeropoulos, Jessica Parker Kennedy",United States,2019-06-01,2011,R,100 min,"Comedies, Dramas, Independent Movies",2019.0
Movie,5CM,Rizal Mantovani,"Herjunot Ali, Raline Shah, Fedi Nuril, Pevita Pearce, Saykoji, Denny Sumargo, Didi Petet, Firrina Sinatrya",Indonesia,2018-09-28,2012,TV-14,126 min,"Dramas, International Movies",2018.0
Movie,6 Days,Toa Fraser,"Jamie Bell, Abbie Cornish, Mark Strong, Martin Shaw, Ben Turner, Aymen Hamdouchi, Tim Pigott-Smith, Robert Portal, Colin Garlick, Andrew Grainger, Martin Hancock, Emun Elliott","New Zealand, United Kingdom",2018-02-08,2017,R,94 min,"Action & Adventure, Dramas, International Movies",2018.0
Movie,6-5=2,Bharat Jain,"Prashantt Guptha, Gaurav Paswala, Gaurav Kothari, Disha Kapoor, Niharica Raizada, Ashrut Jain, Darshan Machamada",India,2017-11-01,2014,TV-MA,103 min,"Horror Movies, International Movies, Thrillers",2017.0
